contract_date	call_put_flag	exercise_price	initial_margin	premium_margin
20260123	C	27150.0	513.61530560939	0.5
20260123	C	27200.0	436.72961915927505	0.5
20260123	C	27250.0	359.9143833215401	0.5
20260123	C	27300.0	294.21697909253	0.5
20260123	C	27350.0	262.90084186706	0.5
20260123	C	27400.0	48.034757775230005	0.5
20260123	C	27450.0	34.157366266465004	0.5
20260123	C	27500.0	20.293417512885007	0.5
20260123	C	27550.0	11.148881061430002	0.5
20260123	C	27600.0	8.424836870695001	0.5
20260123	C	27650.0	5.705584872860001	0.5
20260123	C	27700.0	3.28780613666	0.5
20260123	C	27750.0	3.04521161145	0.5
20260123	C	27800.0	2.8089734669650004	0.5
20260123	C	27850.0	2.5786412775599996	0.5
20260123	C	27900.0	2.557353552955	0.5
20260130	C	19400.0	8894.19883657471	29485.5
20260130	C	20000.0	8896.594523757685	26494.5
20260130	C	21800.0	8902.675021007917	17532.5
20260130	C	21850.0	8902.452173885047	17283.5
20260130	C	21900.0	8902.40041651607	17035.0
20260130	C	21950.0	8902.31731406492	16786.5
20260130	C	22000.0	8900.841970028896	16538.0
20260130	C	22050.0	8899.361627526878	16289.5
20260130	C	22100.0	8897.885626234089	16041.0
20260130	C	22150.0	8896.40464187769	15792.5
20260130	C	22200.0	8894.928022646012	15544.0
20260130	C	22250.0	8893.287401838312	15295.0
20260130	C	22300.0	8891.810056015416	15046.5
20260130	C	22350.0	8890.327752556226	14798.0
20260130	C	22400.0	8888.859258335708	14549.5
20260130	C	22450.0	8887.37644604065	14301.0
20260130	C	22500.0	8885.898091645919	14052.5
20260130	C	22550.0	8884.424206587953	13804.0
20260130	C	22600.0	8880.416015332583	13555.5
20260130	C	22650.0	8873.279015905915	13307.0
20260130	C	22700.0	8834.977674260295	13058.5
20260130	C	22750.0	8833.886468588855	12810.0
20260130	C	22800.0	8832.787247276623	12561.5
20260130	C	22850.0	8831.69898847769	12313.0
20260130	C	22900.0	8830.602783536258	12064.5
20260130	C	22950.0	8829.176038803747	11816.5
20260130	C	23000.0	8819.051667768284	11568.0
20260130	C	23050.0	8817.510224668524	11320.0
20260130	C	23100.0	8815.959126703092	11072.0
20260130	C	23150.0	8814.419997569412	10824.0
20260130	C	23200.0	8812.892937675057	10576.0
20260130	C	23250.0	8811.356443763154	10328.0
20260130	C	23300.0	8809.421120374645	10080.5
20260130	C	23350.0	8807.519013609211	9833.0
20260130	C	23400.0	8805.606952543887	9585.5
20260130	C	23450.0	8803.684986024258	9338.0
20260130	C	23500.0	8801.40549904611	9091.0
20260130	C	23550.0	8798.487082969938	8844.0
20260130	C	23600.0	8786.53094829722	8597.0
20260130	C	23650.0	8783.168678545871	8350.5
20260130	C	23700.0	8779.78810786349	8104.0
20260130	C	23750.0	8775.997320223809	7858.0
20260130	C	23800.0	8772.188917671008	7612.0
20260130	C	23850.0	8767.90522086358	7366.5
20260130	C	23900.0	8763.211692202203	7121.5
20260130	C	23950.0	8758.042857841876	6877.0
20260130	C	24000.0	8751.545571378096	6634.0
20260130	C	24050.0	8739.951614420388	6391.5
20260130	C	24100.0	8731.933094191838	6150.0
20260130	C	24150.0	8722.549412614686	5910.0
20260130	C	24200.0	8711.796115550349	5671.5
20260130	C	24250.0	8700.140580073989	5434.0
20260130	C	24300.0	8687.612253795332	5197.5
20260130	C	24350.0	8672.72056500165	4963.5
20260130	C	24400.0	8656.83916818069	4730.5
20260130	C	24450.0	8638.325725274943	4500.0
20260130	C	24500.0	8617.1531504339	4272.0
20260130	C	24550.0	8593.559749768927	4046.0
20260130	C	24600.0	8567.166414650566	3823.0
20260130	C	24650.0	8538.508413283307	3603.0
20260130	C	24700.0	8506.243438971467	3386.0
20260130	C	24750.0	8471.268026798041	3172.0
20260130	C	24800.0	8431.974659182508	2962.5
20260130	C	24850.0	8388.811640536274	2757.0
20260130	C	24900.0	8340.915263001325	2556.5
20260130	C	24950.0	8289.284342566318	2361.5
20260130	C	25000.0	8228.595339003927	2172.0
20260130	C	25050.0	8163.689254788195	1989.0
20260130	C	25100.0	8089.879447163723	1813.0
20260130	C	25150.0	8013.297671106316	1644.5
20260130	C	25200.0	7925.128464746226	1483.5
20260130	C	25250.0	7827.772874137764	1332.0
20260130	C	25300.0	7722.268125457503	1190.0
20260130	C	25350.0	7601.947641649693	1058.5
20260130	C	25400.0	7472.535601898859	937.5
20260130	C	25450.0	7332.62660803275	826.5
20260130	C	25500.0	7187.446344918805	726.0
20260130	C	25550.0	7028.711163701085	634.5
20260130	C	25600.0	6860.526135612123	552.5
20260130	C	25650.0	6683.695737592856	479.0
20260130	C	25700.0	6496.331944725549	413.5
20260130	C	25750.0	6303.64823101079	355.0
20260130	C	25800.0	6103.36464745826	303.5
20260130	C	25850.0	5896.594657676445	259.0
20260130	C	25900.0	5688.9695943348925	220.0
20260130	C	25950.0	5470.865419902896	186.5
20260130	C	26000.0	5248.137743538895	158.0
20260130	C	26050.0	5022.009069807721	134.0
20260130	C	26100.0	4793.321217600979	113.5
20260130	C	26150.0	4561.966335712542	96.5
